Sample	Sex	popCode	popGroup
HG03117	F	ESN	AFR
HG02976	F	ESN	AFR
HG02946	F	ESN	AFR
HG03267	F	ESN	AFR
HG03078	M	MSL	AFR
HG02983	F	GWD	AFR
HG02953	M	ESN	AFR
HG03058	F	MSL	AFR
HG02793	F	PJL	SAS
HG03060	M	MSL	AFR
HG03085	F	MSL	AFR
HG02798	M	GWD	AFR
HG03097	F	MSL	AFR
HG02977	M	ESN	AFR
HG03072	M	MSL	AFR
HG03028	F	GWD	AFR
HG02774	M	PJL	SAS
HG03077	M	MSL	AFR
HG03057	M	MSL	AFR
HG03084	M	MSL	AFR
HG03064	F	MSL	AFR
HG03091	F	MSL	AFR
HG03009	M	BEB	SAS
HG02786	M	PJL	SAS
HG03069	M	MSL	AFR
HG03096	M	MSL	AFR
HG03016	F	PJL	SAS
HG03135	F	ESN	AFR
HG02870	F	GWD	AFR
HG03159	F	ESN	AFR
HG03225	M	MSL	AFR
HG02882	F	GWD	AFR
HG03237	M	PJL	SAS
HG02887	M	GWD	AFR
HG03209	M	MSL	AFR
HG03166	M	ESN	AFR
HG03124	M	ESN	AFR
HG02938	M	ESN	AFR
HG03228	M	PJL	SAS
HG03129	F	ESN	AFR
HG03109	M	ESN	AFR
HG02952	F	ESN	AFR
HG03235	F	PJL	SAS
HG03111	F	ESN	AFR
HG03136	M	ESN	AFR
HG03162	F	ESN	AFR
HG03049	F	GWD	AFR
HG03247	F	GWD	AFR
HG03123	F	ESN	AFR
HG03241	F	GWD	AFR
HG03259	F	GWD	AFR
HG03193	M	ESN	AFR
HG03246	M	GWD	AFR
HG03130	M	ESN	AFR
HG03198	F	ESN	AFR
HG03258	M	GWD	AFR
HG03103	M	ESN	AFR
HG03108	F	ESN	AFR
HG03491	F	PJL	SAS
HG03265	M	ESN	AFR
HG03511	F	ESN	AFR
HG03169	M	ESN	AFR
HG03115	M	ESN	AFR
HG03539	F	GWD	AFR
HG03172	M	ESN	AFR
HG03558	F	MSL	AFR
HG03352	M	ESN	AFR
HG03189	F	ESN	AFR
HG03565	M	MSL	AFR
HG03369	F	ESN	AFR
HG03190	M	ESN	AFR
HG03469	M	MSL	AFR
HG03195	F	ESN	AFR
HG03196	M	ESN	AFR
HG03376	M	MSL	AFR
HG03476	F	MSL	AFR
HG03234	M	PJL	SAS
HG03488	F	PJL	SAS
HG03343	M	ESN	AFR
HG03268	M	ESN	AFR
HG03419	F	MSL	AFR
HG03121	F	ESN	AFR
HG03280	M	ESN	AFR
HG03433	M	MSL	AFR
HG03458	F	MSL	AFR
HG03126	F	ESN	AFR
HG03297	F	ESN	AFR
HG03460	M	MSL	AFR
HG03133	M	ESN	AFR
HG03300	F	ESN	AFR
HG03445	M	MSL	AFR
HG03099	F	ESN	AFR
HG03139	M	ESN	AFR
HG03490	M	PJL	SAS
HG03410	F	MSL	AFR
HG03114	F	ESN	AFR
HG03160	M	ESN	AFR
HG03439	M	MSL	AFR
HG03515	M	ESN	AFR
HG03446	F	MSL	AFR
HG03291	F	ESN	AFR
HG03127	M	ESN	AFR
HG03279	F	ESN	AFR
HG03270	F	ESN	AFR
HG03294	F	ESN	AFR
HG03298	M	ESN	AFR
HG03157	M	ESN	AFR
HG03088	F	MSL	AFR
HG03301	M	ESN	AFR
HG03095	F	MSL	AFR
HG03351	F	ESN	AFR
HG03472	M	MSL	AFR
HG03521	M	ESN	AFR
HG03363	F	ESN	AFR
HG03063	M	MSL	AFR
HG03538	M	GWD	AFR
HG03484	M	MSL	AFR
HG03082	F	MSL	AFR
HG03370	M	ESN	AFR
HG03378	F	MSL	AFR
HG03557	F	MSL	AFR
HG03452	F	MSL	AFR
HG03388	M	MSL	AFR
HG03380	F	MSL	AFR
HG03457	M	MSL	AFR
HG03385	M	MSL	AFR
HG03464	F	MSL	AFR
HG03397	M	MSL	AFR
HG03571	M	MSL	AFR
HG03382	M	MSL	AFR
HG03354	F	ESN	AFR
HG03394	M	MSL	AFR
HG03693	M	STU	SAS
HG03583	F	MSL	AFR
HG03698	F	STU	SAS
HG03366	F	ESN	AFR
HG03313	M	ESN	AFR
HG03706	F	PJL	SAS
HG03304	M	ESN	AFR
HG03624	M	PJL	SAS
HG03692	F	STU	SAS
HG03629	M	PJL	SAS
HG03311	M	ESN	AFR
HG03401	F	MSL	AFR
HG03697	M	STU	SAS
HG03631	F	PJL	SAS
HG03342	F	ESN	AFR
HG03595	F	BEB	SAS
HG03636	M	PJL	SAS
HG03575	F	MSL	AFR
HG03603	M	BEB	SAS
HG03705	M	PJL	SAS
HG03713	M	ITU	SAS
HG03615	M	BEB	SAS
HG03572	F	MSL	AFR
HG03718	M	ITU	SAS
HG03470	F	MSL	AFR
HG03577	M	MSL	AFR
HG03720	M	ITU	SAS
HG03499	F	ESN	AFR
HG03589	F	BEB	SAS
HG03643	F	STU	SAS
HG03518	M	ESN	AFR
HG03514	F	ESN	AFR
HG03729	M	ITU	SAS
HG03520	F	ESN	AFR
HG03731	F	ITU	SAS
HG03667	M	PJL	SAS
HG03432	M	MSL	AFR
HG03736	F	STU	SAS
HG03679	M	STU	SAS
HG03479	F	MSL	AFR
HG03437	F	MSL	AFR
HG03743	M	STU	SAS
HG03681	M	STU	SAS
HG03449	F	MSL	AFR
HG03750	M	STU	SAS
HG03686	M	STU	SAS
HG03451	M	MSL	AFR
HG03547	M	MSL	AFR
HG03556	M	MSL	AFR
HG03604	F	BEB	SAS
HG03559	M	MSL	AFR
HG03563	F	MSL	AFR
HG03611	F	BEB	SAS
HG03616	F	BEB	SAS
HG03600	M	BEB	SAS
HG03455	F	MSL	AFR
HG03367	M	ESN	AFR
HG03755	M	STU	SAS
HG03762	F	PJL	SAS
HG03754	F	STU	SAS
HG03767	M	PJL	SAS
HG03578	F	MSL	AFR
HG03436	M	MSL	AFR
HG03673	F	STU	SAS
HG03585	M	BEB	SAS
HG03619	F	PJL	SAS
HG03680	M	STU	SAS
HG03773	M	ITU	SAS
HG03685	M	STU	SAS
HG03744	M	STU	SAS
HG03672	M	STU	SAS
HG03642	F	STU	SAS
HG03922	F	BEB	SAS
HG03684	F	STU	SAS
HG03689	F	STU	SAS
HG03717	F	ITU	SAS
HG03934	F	BEB	SAS
HG03640	F	PJL	SAS
HG03691	M	STU	SAS
HG03696	M	STU	SAS
HG03832	F	BEB	SAS
HG03941	M	BEB	SAS
HG03837	M	STU	SAS
HG03833	M	BEB	SAS
HG03722	F	ITU	SAS
HG03709	F	PJL	SAS
HG03844	M	STU	SAS
HG03838	F	STU	SAS
HG03727	M	ITU	SAS
HG03646	M	STU	SAS
HG03849	F	STU	SAS
HG03653	F	PJL	SAS
HG03851	M	STU	SAS
HG03660	M	PJL	SAS
HG03875	M	ITU	SAS
HG03634	F	PJL	SAS
HG03882	F	ITU	SAS
HG03888	F	STU	SAS
HG03690	F	STU	SAS
HG03887	M	STU	SAS
HG03890	M	STU	SAS
HG03760	F	STU	SAS
HG03894	F	STU	SAS
HG03895	F	STU	SAS
HG03765	F	PJL	SAS
HG03899	M	STU	SAS
HG03756	F	STU	SAS
HG03772	F	ITU	SAS
HG03800	M	BEB	SAS
HG03793	F	BEB	SAS
HG03695	M	STU	SAS
HG03805	F	BEB	SAS
HG03770	F	ITU	SAS
HG03703	F	PJL	SAS
HG03778	M	ITU	SAS
HG03708	M	PJL	SAS
HG03780	F	ITU	SAS
HG03645	F	STU	SAS
HG03785	M	ITU	SAS
HG03856	M	STU	SAS
HG03802	F	BEB	SAS
HG03652	M	PJL	SAS
HG03792	M	ITU	SAS
HG03863	F	ITU	SAS
HG03711	M	STU	SAS
HG03868	F	ITU	SAS
HG03594	M	BEB	SAS
HG03716	M	ITU	SAS
HG03870	M	ITU	SAS
HG03908	M	BEB	SAS
HG03919	F	BEB	SAS
HG03910	F	BEB	SAS
HG03730	F	ITU	SAS
HG03926	M	BEB	SAS
HG03607	F	BEB	SAS
HG03742	M	ITU	SAS
HG03940	F	BEB	SAS
HG03857	F	STU	SAS
HG03741	F	STU	SAS
HG03944	F	STU	SAS
HG03902	M	BEB	SAS
HG03864	M	ITU	SAS
HG03746	M	STU	SAS
HG03949	F	STU	SAS
HG03907	F	BEB	SAS
HG03869	M	ITU	SAS
HG03753	M	STU	SAS
HG03951	F	STU	SAS
HG03914	M	BEB	SAS
HG03871	M	ITU	SAS
HG03777	M	ITU	SAS
HG03963	M	ITU	SAS
HG03774	F	ITU	SAS
HG03814	F	BEB	SAS
HG03784	F	ITU	SAS
HG03968	F	ITU	SAS
HG03779	M	ITU	SAS
HG03821	M	BEB	SAS
HG03789	F	ITU	SAS
HG03812	M	BEB	SAS
HG03781	F	ITU	SAS
HG03826	F	BEB	SAS
HG03943	M	STU	SAS
HG03817	F	BEB	SAS
HG03786	M	ITU	SAS
HG03775	M	ITU	SAS
HG03824	M	BEB	SAS
HG03945	F	STU	SAS
HG03782	F	ITU	SAS
HG03950	M	STU	SAS
HG03829	F	BEB	SAS
HG03969	M	ITU	SAS
HG03787	F	ITU	SAS
HG03955	F	STU	SAS
HG03967	M	ITU	SAS
HG03999	M	STU	SAS
HG04017	M	ITU	SAS
HG04063	F	ITU	SAS
HG04070	F	ITU	SAS
HG04134	M	BEB	SAS
HG03823	F	BEB	SAS
HG04029	F	STU	SAS
HG04075	F	STU	SAS
HG04141	F	BEB	SAS
HG03830	M	BEB	SAS
HG04094	M	ITU	SAS
HG03917	M	BEB	SAS
HG03886	F	STU	SAS
HG04099	F	STU	SAS
HG03898	F	STU	SAS
HG04164	M	BEB	SAS
HG04209	F	ITU	SAS
HG03862	F	ITU	SAS
HG04171	F	BEB	SAS
HG04211	M	ITU	SAS
HG03931	F	BEB	SAS
HG03867	M	ITU	SAS
HG04176	M	BEB	SAS
HG04146	M	BEB	SAS
HG03854	M	STU	SAS
HG03874	F	ITU	SAS
HG04183	F	BEB	SAS
HG04153	F	BEB	SAS
HG03861	F	ITU	SAS
HG03920	M	BEB	SAS
HG04188	M	BEB	SAS
HG04158	M	BEB	SAS
HG03866	M	ITU	SAS
HG03925	F	BEB	SAS
HG03873	F	ITU	SAS
HG03937	F	BEB	SAS
HG04222	M	ITU	SAS
HG03796	F	BEB	SAS
HG04227	F	STU	SAS
HG03977	F	ITU	SAS
HG04239	M	ITU	SAS
HG03989	F	STU	SAS
HG03809	M	BEB	SAS
HG03913	F	BEB	SAS
HG04107	M	STU	SAS
HG03991	M	STU	SAS
HG03900	M	STU	SAS
HG03836	F	STU	SAS
HG04033	M	STU	SAS
HG03905	M	BEB	SAS
HG03848	M	STU	SAS
HG04038	F	STU	SAS
HG03885	M	STU	SAS
HG03850	M	STU	SAS
HG04140	M	BEB	SAS
HG03897	F	STU	SAS
HG04001	F	ITU	SAS
HG04177	F	BEB	SAS
NA06994	M	CEU	EUR
HG04006	M	STU	SAS
NA07000	F	CEU	EUR
HG04018	F	ITU	SAS
HG04189	F	BEB	SAS
HG04020	M	ITU	SAS
HG04002	M	ITU	SAS
HG03974	M	ITU	SAS
HG04025	F	ITU	SAS
HG04014	F	ITU	SAS
HG03986	F	STU	SAS
NA07048	M	CEU	EUR
HG03971	M	ITU	SAS
HG04019	M	ITU	SAS
HG04059	F	ITU	SAS
HG03976	M	ITU	SAS
HG04026	F	ITU	SAS
HG04061	M	ITU	SAS
HG03953	M	STU	SAS
HG04080	M	ITU	SAS
HG03990	M	STU	SAS
HG03960	M	ITU	SAS
HG04100	M	STU	SAS
HG04062	F	ITU	SAS
HG03995	F	STU	SAS
HG03965	M	ITU	SAS
NA06986	M	CEU	EUR
HG04195	F	BEB	SAS
HG04076	F	ITU	SAS
HG04093	M	ITU	SAS
HG04090	F	ITU	SAS
HG04162	F	BEB	SAS
HG04098	M	ITU	SAS
HG04210	M	STU	SAS
NA06984	M	CEU	EUR
HG04106	F	STU	SAS
HG04152	M	BEB	SAS
NA06989	F	CEU	EUR
HG04194	M	BEB	SAS
HG04186	F	BEB	SAS
HG04202	F	ITU	SAS
HG04056	M	ITU	SAS
HG04198	M	ITU	SAS
HG04144	F	BEB	SAS
NA11894	F	CEU	EUR
HG04206	M	ITU	SAS
NA11919	M	CEU	EUR
HG04035	F	STU	SAS
NA11829	M	CEU	EUR
NA11933	F	CEU	EUR
HG04042	F	STU	SAS
HG04156	F	BEB	SAS
NA11831	M	CEU	EUR
NA11995	F	CEU	EUR
HG04047	F	STU	SAS
HG04214	F	ITU	SAS
NA11843	M	CEU	EUR
NA12234	F	CEU	EUR
HG04054	F	ITU	SAS
HG04219	M	ITU	SAS
NA11881	M	CEU	EUR
HG04238	M	ITU	SAS
NA11893	M	CEU	EUR
NA12272	M	CEU	EUR
NA11918	F	CEU	EUR
HG04155	M	BEB	SAS
NA11920	F	CEU	EUR
NA12006	F	CEU	EUR
HG04131	M	BEB	SAS
HG04182	M	BEB	SAS
NA11932	M	CEU	EUR
NA12044	F	CEU	EUR
NA11994	M	CEU	EUR
HG03998	M	STU	SAS
HG04118	F	ITU	SAS
NA07037	F	CEU	EUR
HG04023	M	ITU	SAS
NA07051	M	CEU	EUR
NA12342	M	CEU	EUR
HG04225	M	ITU	SAS
NA07056	F	CEU	EUR
NA12347	M	CEU	EUR
NA07347	M	CEU	EUR
NA12400	F	CEU	EUR
NA12762	M	CEU	EUR
NA12005	M	CEU	EUR
NA12763	F	CEU	EUR
NA12043	M	CEU	EUR
NA12775	M	CEU	EUR
NA12144	M	CEU	EUR
NA11832	F	CEU	EUR
NA12813	F	CEU	EUR
NA12156	F	CEU	EUR
NA12814	M	CEU	EUR
HG04216	F	ITU	SAS
NA12546	M	CEU	EUR
NA12249	F	CEU	EUR
NA12283	F	CEU	EUR
NA12717	F	CEU	EUR
NA12275	F	CEU	EUR
NA12341	F	CEU	EUR
HG04235	M	ITU	SAS
NA12748	M	CEU	EUR
NA12282	M	CEU	EUR
NA12750	M	CEU	EUR
NA12287	F	CEU	EUR
NA12003	M	CEU	EUR
NA12340	M	CEU	EUR
NA12046	F	CEU	EUR
NA12058	F	CEU	EUR
NA12383	F	CEU	EUR
NA12154	M	CEU	EUR
NA12489	F	CEU	EUR
NA12828	F	CEU	EUR
NA11892	F	CEU	EUR
NA12830	F	CEU	EUR
NA12842	M	CEU	EUR
NA12399	M	CEU	EUR
NA11931	F	CEU	EUR
NA12873	F	CEU	EUR
NA12414	F	CEU	EUR
NA12827	M	CEU	EUR
NA12878	F	CEU	EUR
NA12718	F	CEU	EUR
NA12749	F	CEU	EUR
NA12872	M	CEU	EUR
NA07357	M	CEU	EUR
NA12751	F	CEU	EUR
NA18489	F	YRI	AFR
NA12889	M	CEU	EUR
NA18504	M	YRI	AFR
NA12890	F	CEU	EUR
NA11930	M	CEU	EUR
NA18488	F	YRI	AFR
NA11992	M	CEU	EUR
NA10851	M	CEU	EUR
NA18508	F	YRI	AFR
NA12760	M	CEU	EUR
NA12004	F	CEU	EUR
NA18510	M	YRI	AFR
NA12286	M	CEU	EUR
NA12155	M	CEU	EUR
NA18511	F	YRI	AFR
NA18522	M	YRI	AFR
NA18516	M	YRI	AFR
NA11830	F	CEU	EUR
NA18596	F	CHB	EAS
NA18523	F	YRI	AFR
NA18609	M	CHB	EAS
NA18528	F	CHB	EAS
NA18499	F	YRI	AFR
NA18611	M	CHB	EAS
NA18530	M	CHB	EAS
NA18502	F	YRI	AFR
NA18616	F	CHB	EAS
NA18535	F	CHB	EAS
NA18486	M	YRI	AFR
NA18564	F	CHB	EAS
NA18565	F	CHB	EAS
NA18542	F	CHB	EAS
NA18498	M	YRI	AFR
NA18571	F	CHB	EAS
NA18572	M	CHB	EAS
NA18547	F	CHB	EAS
NA18501	M	YRI	AFR
NA18577	F	CHB	EAS
NA18559	M	CHB	EAS
NA18633	M	CHB	EAS
NA18595	F	CHB	EAS
NA18591	F	CHB	EAS
NA18561	M	CHB	EAS
NA18638	M	CHB	EAS
NA18507	M	YRI	AFR
NA18546	M	CHB	EAS
NA18597	F	CHB	EAS
NA18640	F	CHB	EAS
NA18519	M	YRI	AFR
NA18553	F	CHB	EAS
NA18605	M	CHB	EAS
NA18645	M	CHB	EAS
NA18558	M	CHB	EAS
NA18612	M	CHB	EAS
NA18603	M	CHB	EAS
NA18560	F	CHB	EAS
NA18566	F	CHB	EAS
NA18608	M	CHB	EAS
NA12776	F	CEU	EUR
NA18573	F	CHB	EAS
NA18520	F	YRI	AFR
NA18610	F	CHB	EAS
NA12815	F	CEU	EUR
NA18592	F	CHB	EAS
NA18525	F	CHB	EAS
NA18615	F	CHB	EAS
NA18623	M	CHB	EAS
NA12777	M	CEU	EUR
NA18532	F	CHB	EAS
NA18545	F	CHB	EAS
NA18628	F	CHB	EAS
NA18934	M	YRI	AFR
NA18537	F	CHB	EAS
NA18552	F	CHB	EAS
NA18630	F	CHB	EAS
NA18939	F	JPT	EAS
NA18544	M	CHB	EAS
NA18557	M	CHB	EAS
NA18941	F	JPT	EAS
NA18549	M	CHB	EAS
NA18526	F	CHB	EAS
NA18534	M	CHB	EAS
NA18946	F	JPT	EAS
NA18563	M	CHB	EAS
NA18533	F	CHB	EAS
NA18539	F	CHB	EAS
NA18749	M	CHB	EAS
NA18619	F	CHB	EAS
NA18538	F	CHB	EAS
NA18541	F	CHB	EAS
NA18621	M	CHB	EAS
NA18634	F	CHB	EAS
NA18626	F	CHB	EAS
NA18639	M	CHB	EAS
NA18868	M	YRI	AFR
NA18570	F	CHB	EAS
NA18641	F	CHB	EAS
NA18870	F	YRI	AFR
NA18617	F	CHB	EAS
NA18582	F	CHB	EAS
NA18646	F	CHB	EAS
NA18624	M	CHB	EAS
NA18599	F	CHB	EAS
NA18747	M	CHB	EAS
NA18933	F	YRI	AFR
NA18629	M	CHB	EAS
NA18602	F	CHB	EAS
NA18940	M	JPT	EAS
NA18631	F	CHB	EAS
NA18614	F	CHB	EAS
NA18622	M	CHB	EAS
NA18945	M	JPT	EAS
NA18864	F	YRI	AFR
NA18627	F	CHB	EAS
NA18635	M	CHB	EAS
NA19000	M	JPT	EAS
NA18642	F	CHB	EAS
NA18871	M	YRI	AFR
NA18912	F	YRI	AFR
NA19005	M	JPT	EAS
NA18647	M	CHB	EAS
NA18876	F	YRI	AFR
NA18917	M	YRI	AFR
NA19012	M	JPT	EAS
NA18907	F	YRI	AFR
NA18908	M	YRI	AFR
NA18924	F	YRI	AFR
NA19017	F	LWK	AFR
NA18910	M	YRI	AFR
NA18861	F	YRI	AFR
NA19024	F	LWK	AFR
NA18748	M	CHB	EAS
NA18915	M	YRI	AFR
NA18873	F	YRI	AFR
NA18879	M	YRI	AFR
NA18856	M	YRI	AFR
NA18636	M	CHB	EAS
NA18878	F	YRI	AFR
NA18881	F	YRI	AFR
NA18983	M	JPT	EAS
NA18643	M	CHB	EAS
NA19004	M	JPT	EAS
NA18988	M	JPT	EAS
NA18648	M	CHB	EAS
NA19009	M	JPT	EAS
NA18990	M	JPT	EAS
NA18984	M	JPT	EAS
NA19011	F	JPT	EAS
NA18995	M	JPT	EAS
NA18989	M	JPT	EAS
NA19023	F	LWK	AFR
NA19001	F	JPT	EAS
NA18991	F	JPT	EAS
NA18867	F	YRI	AFR
NA19006	M	JPT	EAS
NA18953	M	JPT	EAS
NA18874	M	YRI	AFR
NA19020	M	LWK	AFR
NA18960	M	JPT	EAS
NA19055	M	JPT	EAS
NA18969	F	JPT	EAS
NA18965	M	JPT	EAS
NA18967	M	JPT	EAS
NA19062	M	JPT	EAS
NA18971	M	JPT	EAS
NA18972	F	JPT	EAS
NA18974	M	JPT	EAS
NA19067	M	JPT	EAS
NA18976	F	JPT	EAS
NA18977	M	JPT	EAS
NA18979	F	JPT	EAS
NA19074	F	JPT	EAS
NA18952	M	JPT	EAS
NA19153	M	YRI	AFR
NA18981	F	JPT	EAS
NA18968	F	JPT	EAS
NA18957	F	JPT	EAS
NA19160	M	YRI	AFR
NA19028	M	LWK	AFR
NA18970	M	JPT	EAS
NA18964	F	JPT	EAS
NA19172	F	YRI	AFR
NA19030	F	LWK	AFR
NA18975	F	JPT	EAS
NA19035	M	LWK	AFR
NA18982	M	JPT	EAS
NA19210	M	YRI	AFR
NA19184	M	YRI	AFR
NA19042	F	LWK	AFR
NA19031	M	LWK	AFR
NA19189	M	YRI	AFR
NA18950	F	JPT	EAS
NA19036	F	LWK	AFR
NA19222	F	YRI	AFR
NA19043	M	LWK	AFR
NA19239	M	YRI	AFR
NA18962	M	JPT	EAS
NA18987	F	JPT	EAS
NA19204	F	YRI	AFR
NA18986	M	JPT	EAS
NA18994	M	JPT	EAS
NA19099	F	YRI	AFR
NA19108	F	YRI	AFR
NA18993	F	JPT	EAS
NA18999	F	JPT	EAS
NA19102	F	YRI	AFR
NA18998	F	JPT	EAS
NA18951	F	JPT	EAS
NA19107	M	YRI	AFR
NA18943	M	JPT	EAS
NA18956	F	JPT	EAS
NA19114	F	YRI	AFR
NA18948	M	JPT	EAS
NA18963	F	JPT	EAS
NA19119	M	YRI	AFR
NA19131	F	YRI	AFR
NA18944	M	JPT	EAS
NA19121	M	YRI	AFR
NA19141	M	YRI	AFR
NA19143	F	YRI	AFR
NA18949	F	JPT	EAS
NA19152	F	YRI	AFR
NA19146	M	YRI	AFR
NA19171	M	YRI	AFR
NA19095	F	YRI	AFR
NA19092	M	YRI	AFR
NA19257	F	YRI	AFR
NA19138	M	YRI	AFR
NA19076	M	JPT	EAS
NA19308	M	LWK	AFR
NA19083	M	JPT	EAS
NA19310	F	LWK	AFR
NA19088	M	JPT	EAS
NA19214	F	YRI	AFR
NA19190	F	YRI	AFR
NA19090	F	JPT	EAS
NA19002	F	JPT	EAS
NA19256	M	YRI	AFR
NA19007	M	JPT	EAS
NA19307	M	LWK	AFR
NA19238	F	YRI	AFR
NA19056	M	JPT	EAS
NA19019	F	LWK	AFR
NA19198	M	YRI	AFR
NA19063	M	JPT	EAS
NA19057	F	JPT	EAS
NA19201	F	YRI	AFR
NA19137	F	YRI	AFR
NA19068	M	JPT	EAS
NA19064	F	JPT	EAS
NA19206	F	YRI	AFR
NA19144	M	YRI	AFR
NA19070	M	JPT	EAS
NA19026	M	LWK	AFR
NA19213	M	YRI	AFR
NA19149	F	YRI	AFR
NA19075	M	JPT	EAS
NA19038	F	LWK	AFR
NA19225	F	YRI	AFR
NA19082	M	JPT	EAS
NA19449	F	LWK	AFR
NA19113	M	YRI	AFR
NA19087	F	JPT	EAS
NA19451	M	LWK	AFR
NA19117	M	YRI	AFR
NA19118	F	YRI	AFR
NA19025	M	LWK	AFR
NA19456	F	LWK	AFR
NA19129	F	YRI	AFR
NA19037	F	LWK	AFR
NA19463	F	LWK	AFR
NA19078	F	JPT	EAS
NA19093	F	YRI	AFR
NA19468	F	LWK	AFR
NA19080	F	JPT	EAS
NA19098	M	YRI	AFR
NA19429	M	LWK	AFR
NA19085	M	JPT	EAS
NA19431	F	LWK	AFR
NA19209	F	YRI	AFR
NA19054	F	JPT	EAS
NA19436	F	LWK	AFR
NA19059	F	JPT	EAS
NA19443	M	LWK	AFR
NA19223	M	YRI	AFR
NA19066	M	JPT	EAS
NA19207	M	YRI	AFR
NA19664	M	MXL	AMR
NA19235	F	YRI	AFR
NA19315	F	LWK	AFR
NA19669	F	MXL	AMR
NA19327	F	LWK	AFR
NA19679	M	MXL	AMR
NA19334	M	LWK	AFR
NA19676	M	MXL	AMR
NA19681	F	MXL	AMR
NA19346	M	LWK	AFR
NA19347	M	LWK	AFR
NA19175	M	YRI	AFR
NA19247	F	YRI	AFR
NA19701	F	ASW	AFR
NA19079	M	JPT	EAS
NA19472	F	LWK	AFR
NA19081	F	JPT	EAS
NA19378	F	LWK	AFR
NA19312	M	LWK	AFR
NA19648	F	MXL	AMR
NA19086	M	JPT	EAS
NA19473	F	LWK	AFR
NA19309	M	LWK	AFR
NA19393	M	LWK	AFR
NA19655	M	MXL	AMR
NA19625	F	ASW	AFR
NA19713	F	ASW	AFR
NA19649	M	MXL	AMR
NA19474	F	LWK	AFR
NA19401	F	LWK	AFR
NA19651	F	MXL	AMR
NA19652	M	MXL	AMR
NA19350	M	LWK	AFR
NA19720	M	MXL	AMR
NA19657	F	MXL	AMR
NA19355	F	LWK	AFR
NA19725	F	MXL	AMR
NA19374	M	LWK	AFR
NA19434	F	LWK	AFR
NA19719	F	MXL	AMR
NA19703	M	ASW	AFR
NA19379	F	LWK	AFR
NA19439	F	LWK	AFR
NA19475	F	LWK	AFR
NA19446	F	LWK	AFR
NA19726	M	MXL	AMR
NA19380	M	LWK	AFR
NA19314	F	LWK	AFR
NA19384	M	LWK	AFR
NA19385	M	LWK	AFR
NA19658	M	MXL	AMR
NA19319	M	LWK	AFR
NA19391	F	LWK	AFR
NA19397	M	LWK	AFR
NA19321	F	LWK	AFR
NA19448	M	LWK	AFR
NA19437	F	LWK	AFR
NA19338	F	LWK	AFR
NA19404	F	LWK	AFR
NA19455	M	LWK	AFR
NA19682	M	MXL	AMR
NA19462	F	LWK	AFR
NA19317	M	LWK	AFR
NA19467	F	LWK	AFR
NA19324	F	LWK	AFR
NA19376	M	LWK	AFR
NA19707	F	ASW	AFR
NA19316	F	LWK	AFR
NA19331	M	LWK	AFR
NA19383	M	LWK	AFR
NA19663	F	MXL	AMR
NA19323	F	LWK	AFR
NA19728	F	MXL	AMR
NA19390	F	LWK	AFR
NA19670	M	MXL	AMR
NA19328	F	LWK	AFR
NA19395	F	LWK	AFR
NA19735	M	MXL	AMR
NA19403	F	LWK	AFR
NA19428	M	LWK	AFR
NA20318	M	ASW	AFR
NA19430	M	LWK	AFR
NA20320	F	ASW	AFR
NA19747	M	MXL	AMR
NA19435	F	LWK	AFR
NA20332	F	ASW	AFR
NA19773	F	MXL	AMR
NA19780	M	MXL	AMR
NA20289	F	ASW	AFR
NA19740	F	MXL	AMR
NA19785	F	MXL	AMR
NA20291	M	ASW	AFR
NA19360	M	LWK	AFR
NA20274	F	ASW	AFR
NA19711	M	ASW	AFR
NA20296	F	ASW	AFR
NA19372	M	LWK	AFR
NA19716	F	MXL	AMR
NA19749	F	MXL	AMR
NA19377	F	LWK	AFR
NA20281	M	ASW	AFR
NA19723	M	MXL	AMR
NA19454	M	LWK	AFR
NA19789	M	MXL	AMR
NA19901	F	ASW	AFR
NA19756	M	MXL	AMR
NA19461	M	LWK	AFR
NA19913	F	ASW	AFR
NA19466	M	LWK	AFR
NA19922	M	ASW	AFR
NA20362	M	ASW	AFR
NA19835	F	ASW	AFR
NA19920	M	ASW	AFR
NA19984	M	ASW	AFR
NA20126	M	ASW	AFR
NA20502	F	TSI	EUR
NA19758	F	MXL	AMR
NA19759	M	MXL	AMR
NA20507	F	TSI	EUR
NA19761	F	MXL	AMR
NA19788	F	MXL	AMR
NA19734	F	MXL	AMR
NA19794	F	MXL	AMR
NA19741	M	MXL	AMR
NA19982	M	ASW	AFR
NA19819	F	ASW	AFR
NA19795	M	MXL	AMR
NA19746	F	MXL	AMR
NA19770	F	MXL	AMR
NA19834	M	ASW	AFR
NA20282	F	ASW	AFR
NA19923	F	ASW	AFR
NA19777	M	MXL	AMR
NA19792	M	MXL	AMR
NA19782	F	MXL	AMR
NA19732	M	MXL	AMR
NA20127	F	ASW	AFR
NA19900	M	ASW	AFR
NA20278	M	ASW	AFR
NA19684	F	MXL	AMR
NA20342	M	ASW	AFR
NA19917	F	ASW	AFR
NA19704	F	ASW	AFR
NA20348	M	ASW	AFR
NA19722	F	MXL	AMR
NA20287	F	ASW	AFR
NA19908	M	ASW	AFR
NA20294	F	ASW	AFR
NA20355	F	ASW	AFR
NA20298	M	ASW	AFR
NA20299	F	ASW	AFR
NA19771	M	MXL	AMR
NA19776	F	MXL	AMR
NA20314	F	ASW	AFR
NA20359	F	ASW	AFR
NA19783	M	MXL	AMR
NA19752	F	MXL	AMR
